CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C00175;01/02/2014;<=10;>0;0;<24, 48;627.06;1321.46;0;14/02/2014;12;20149;BT;1/01/2012;0;COEF
C00177;01/02/2014;<=10;0;0;<=24;567.83;576.25;0;14/02/2014;16;5409.32;BT;1/01/2012;1;CNE
C00178;01/02/2014;<=10;>0;0;<24, 48;3935.02;3938.06;5260.39;5/02/2014;14;35720.3;BT;1/01/2013;0;COEF
C00179;01/02/2014;<=10;0;0;<24, 48;281.04;0;87.58;13/02/2014;8;3956.03;BT;1/01/2012;1;CNE
C00180;01/02/2014;>10;0;0;>48;612.29;1978.9;2263.14;10/02/2014;11;33222.4;BT;1/01/2011;1;CNE
C00181;01/02/2014;>10;0;0;<24, 48;670.62;1157.7;0;17/02/2014;7;28372.4;BT;1/01/2012;1;COEF
C00182;01/02/2014;<=10;0;0;<24, 48;866.99;0;0;20/02/2014;11;8899.63;BT;1/01/2012;0;CNE
C00183;01/02/2014;<=10;0;0;<24, 48;333.5;332.57;3.83;7/02/2014;18;6310.46;BT;1/01/2013;1;COEF
C00184;01/02/2014;<=10;0;0;<24, 48;1999.51;0;0;12/02/2014;13;67685.3;BT;1/01/2012;1;COEF
C00186;01/02/2014;<=10;0;0;<=24;555.38;261.51;0;5/02/2014;17;555.67;BT;1/01/2013;0;CNE
C00187;01/02/2014;<=10;0;0;<=24;300.92;453.54;608.15;12/02/2014;15;1350.95;BT;1/01/2012;0;CNE
C00188;01/02/2014;>10;0;0;<24, 48;289.39;289.93;289.13;5/02/2014;15;5435.37;BT;1/01/2012;1;COEF
C00189;01/02/2014;<=10;0;0;>48;669.64;0;0;24/02/2014;8;71472.4;BT;1/01/2012;1;CNE
C00190;01/02/2014;<=10;0;0;>48;795.82;0;0;4/02/2014;14;69867.7;BT;1/01/2012;1;CNE
C00192;01/02/2014;<=10;0;0;<24, 48;151.96;0;0;3/02/2014;11;1951.22;BT;1/01/2012;1;COEF
C00193;01/02/2014;<=10;0;0;<24, 48;101.02;87.23;0;3/02/2014;15;3581.74;BT;1/01/2013;1;CNE
C00194;01/02/2014;<=10;0;0;<24, 48;219;153.74;153.53;7/02/2014;15;3381.32;BT;1/01/2012;1;COEF
C00195;01/02/2014;<=10;0;0;<=24;253.35;0;0;6/02/2014;13;5015.85;BT;1/01/2013;1;COEF
C00196;01/02/2014;>10;>0;0;<24, 48;158.2;239.91;0;25/02/2014;9;2652.41;BT;1/01/2012;1;COEF
C00197;01/02/2014;<=10;>0;1;<24, 48;2377.84;0;0;10/02/2014;13;21615.2;BT;1/01/2013;0;COEF
C00199;01/02/2014;>10;0;0;<24, 48;155.08;156.69;155.67;7/02/2014;11;1338.89;BT;1/01/2011;1;COEF
C00203;01/02/2014;<=10;0;0;<=24;266.45;266.46;266.55;19/02/2014;11;1268.52;BT;1/01/2011;1;CNE
